name,online_order,book_table,rate,votes,location,restaurant_type,cuisines,approx_cost,listed_type,listed_city
Jalsa,True,True,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,Buffet,Banashankari
Spice Elephant,True,False,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,Buffet,Banashankari
San Churro Cafe,True,False,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Buffet,Banashankari
Addhuri Udupi Bhojana,False,False,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300,Buffet,Banashankari
Grand Village,False,False,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,Buffet,Banashankari
Timepass Dinner,True,False,3.8,286,Basavanagudi,Casual Dining,North Indian,600,Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,False,False,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Buffet,Banashankari
Onesta,True,True,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Cafes,Banashankari
Penthouse Cafe,True,False,4.0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700,Cafes,Banashankari
Smacznego,True,False,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Cafes,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,True,False,4.1,402,Banashankari,Cafe,Cafe,500,Cafes,Banashankari
Cafe Shuffle,True,True,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,Cafes,Banashankari
The Coffee Shack,True,True,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari
Caf-Eleven,False,False,4.0,424,Banashankari,Cafe,"Cafe, Continental",450,Cafes,Banashankari
San Churro Cafe,True,False,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,Cafes,Banashankari
Cafe Vivacity,True,False,3.8,90,Banashankari,Cafe,Cafe,650,Cafes,Banashankari
Catch-up-ino,True,False,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
Kirthi's Biryani,True,False,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,Cafes,Banashankari
T3H Cafe,False,False,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300,Cafes,Banashankari
360 Atoms Restaurant And Cafe,True,False,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
The Vintage Cafe,True,False,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,Cafes,Banashankari
Woodee Pizza,True,False,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
Cafe Coffee Day,False,False,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,True,False,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
Hide Out Cafe,False,False,3.7,31,Banashankari,Cafe,Cafe,300,Cafes,Banashankari
CAFE NOVA,False,False,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,True,False,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,Cafes,Banashankari
Sea Green Cafe,False,False,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
Cuppa,False,False,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,False,False,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Redberrys,True,False,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,Cafes,Banashankari
Foodiction,True,False,2.8,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,Delivery,Banashankari
Sweet Truth,True,False,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,True,False,3.9,172,Banashankari,Delivery,Pizza,750,Delivery,Banashankari
Faasos,True,False,4.2,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,Delivery,Banashankari
Behrouz Biryani,True,False,3.9,230,Banashankari,Delivery,Biryani,650,Delivery,Banashankari
Fast And Fresh,True,False,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Szechuan Dragon,True,False,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery,Banashankari
Empire Restaurant,True,False,4.4,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery,Banashankari
Maruthi Davangere Benne Dosa,True,False,4.0,17,Banashankari,Quick Bites,South Indian,150,Delivery,Banashankari
Chaatimes,True,False,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
Havyaka Mess,False,False,3.9,28,Banashankari,Mess,South Indian,300,Delivery,Banashankari
McDonald's,True,False,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery,Banashankari
Domino's Pizza,True,False,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery,Banashankari
Onesta,True,True,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,Delivery,Banashankari
Hotboxit,False,False,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,Delivery,Banashankari
Kitchen Garden,True,False,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Recipe,True,False,4.0,804,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Beijing Bites,True,False,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,Delivery,Banashankari
Tasty Bytes,True,False,3.1,245,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
Petoo,False,False,3.7,21,Banashankari,Quick Bites,North Indian,450,Delivery,Banashankari
Shree Cool Point,True,False,4.1,28,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
Corner House Ice Cream,False,False,4.3,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery,Banashankari
